TIMESTAMP,RECORD,BGTemp_C_Avg,AirTC_Avg,RH_Avg,P_Air_Avg,cal_NetRad_Pyrano_Up_Avg,mean_wind_speed,mean_wind_direction,std_wind_dir,wind_speed_Max,esat_kPa,ea_kPa,dewpoint_C,wet_bulb_C,WBGT_C
2025-04-29 06:30:00,10843.0,-6.741807,-11.82625,73.92294,1004.189,138.6385,3.251111,11.4467,14.51167,5.58,0.24759216992372052,0.18302741121740998,-15.53526824043128,-12.941364854163401,-11.58994179791438
2025-04-29 07:00:00,10844.0,-7.036745,-12.10906,75.18054,1004.239,175.7533,3.591778,344.9866,6.700474,5.18,0.24202826035910527,0.18195815309058128,-15.605927371058218,-13.157111328183657,-11.828232929728559
2025-04-29 07:30:00,10845.0,-5.42772,-11.8571,74.28185,1004.439,198.7036,2.606889,1.69767,10.14267,3.86,0.24697974627961777,0.18346112466180628,-15.506712511347256,-12.954330688300914,-11.33928548181064
2025-04-29 08:00:00,10846.0,-3.271134,-11.28978,73.20178,1004.644,246.8446,2.19,329.7459,20.92391,3.3,0.2584606937689719,0.18919782843923652,-15.134574632910711,-12.456872369035636,-10.503015458324946
2025-04-29 08:30:00,10847.0,-2.705512,-12.832,76.8533,1004.839,295.0022,2.077445,68.20257,35.61276,3.26,0.22830870557807767,0.1754627744240368,-16.043305041699075,-13.782614039879656,-11.47213222791576
2025-04-29 09:00:00,10848.0,1.171161,-13.04605,80.0538,1005.017,330.3296,1.230333,109.9701,7.215029,1.62,0.22438191618983266,0.17962625042277625,-15.76132091639691,-13.851943500632906,-10.766733250443036
2025-04-29 09:30:00,10849.0,6.797276,-10.7469,72.11862,1005.163,366.7392,0.6797778,115.4574,9.894829,1.49,0.2698899845907658,0.19464093240507296,-14.790686541403664,-11.985242401707314,-8.104904481195119
2025-04-29 10:00:00,10850.0,11.63126,-10.20942,70.2593,1005.309,398.9426,0.4818889,106.5178,24.79674,0.9,0.2816471149477971,0.1978832914325176,-14.589899016090738,-11.560158991973198,-6.786801294381238
2025-04-29 10:30:00,10851.0,12.41724,-9.56059,68.00322,1005.443,443.9898,0.9254443,157.4064,70.94653,1.97,0.29644642909438995,0.20159311735920202,-14.363735346571119,-11.053800439973399,-6.210271307981379
2025-04-29 11:00:00,10852.0,4.617196,-11.77416,80.94612,1005.595,476.875,1.399445,109.073,9.032446,2.19,0.24862931614459774,0.20125578460158544,-14.384146021220465,-12.57241171376471,-9.054664999635296
2025-04-29 11:30:00,10853.0,6.808125,-11.31496,82.30733,1005.724,463.802,0.9913333,96.99871,14.8023,1.53,0.257941207614092,0.21230452095691582,-13.730979061541127,-12.064088854057676,-8.214733197840372
